รหัสยืนยัน,สถานะ,รหัส_นศ,วิเคราะห์ประเด็น,หลักฐาน,มุมมอง,เชื่อมโยง,สรุป,คะแนนรวม,จำนวนรอบ,การคัดลอก,V_ที่ได้,V_ที่ถูกต้อง,หมายเหตุ
TK-0072-44344-5R-0C-V04-D26,ไม่ถูกต้อง,72,4,4,3,4,4,19,5,0,V04,V06,V code ไม่ตรง: ได้ V04 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
TK-0213-44444-5R-0C-V45-D26,ไม่ถูกต้อง,213,4,4,4,4,4,20,5,0,V45,V05,V code ไม่ตรง: ได้ V45 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0055-44444-5R-0C-V70-D26,ไม่ถูกต้อง,55,4,4,4,4,4,20,5,0,V70,V09,V code ไม่ตรง: ได้ V70 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-0520-44444-5R-0C-V48-D26,ไม่ถูกต้อง,520,4,4,4,4,4,20,5,0,V48,V06,V code ไม่ตรง: ได้ V48 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
TK-0360-44444-5R-0C-V39-D26,ไม่ถูกต้อง,360,4,4,4,4,4,20,5,0,V39,V08,V code ไม่ตรง: ได้ V39 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0181-44444-5R-0C-V33-D26,ไม่ถูกต้อง,181,4,4,4,4,4,20,5,0,V33,V09,V code ไม่ตรง: ได้ V33 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-0152-43444-5R-0C-V37-D26,ไม่ถูกต้อง,152,4,3,4,4,4,19,5,0,V37,V02,V code ไม่ตรง: ได้ V37 แต่ควรเป็น V02 → อาจเป็นรหัสปลอม!
TK-0104-44444-6R-0C-V96-D26,ไม่ถูกต้อง,104,4,4,4,4,4,20,6,0,V96,V07,V code ไม่ตรง: ได้ V96 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0650-44444-5R-0C-V01-D26,ไม่ถูกต้อง,650,4,4,4,4,4,20,5,0,V01,V10,V code ไม่ตรง: ได้ V01 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-1010-43434-5R-0C-V31-D26,ไม่ถูกต้อง,1010,4,3,4,3,4,18,5,0,V31,V89,V code ไม่ตรง: ได้ V31 แต่ควรเป็น V89 → อาจเป็นรหัสปลอม!
TK-0035-33343-5R-0C-V20-D26,ไม่ถูกต้อง,35,3,3,3,4,3,16,5,0,V20,V93,V code ไม่ตรง: ได้ V20 แต่ควรเป็น V93 → อาจเป็นรหัสปลอม!
TK-0059-44343-5R-0C-V93-D26,ไม่ถูกต้อง,59,4,4,3,4,3,18,5,0,V93,V07,V code ไม่ตรง: ได้ V93 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0030-33343-5R-0C-V60-D26,ไม่ถูกต้อง,30,3,3,3,4,3,16,5,0,V60,V88,V code ไม่ตรง: ได้ V60 แต่ควรเป็น V88 → อาจเป็นรหัสปลอม!
TK-0340-44334-5R-0C-V69-D26,ไม่ถูกต้อง,340,4,4,3,3,4,18,5,0,V69,V97,V code ไม่ตรง: ได้ V69 แต่ควรเป็น V97 → อาจเป็นรหัสปลอม!
TK-0146-44444-5R-0C-V22-D26,ไม่ถูกต้อง,146,4,4,4,4,4,20,5,0,V22,V10,V code ไม่ตรง: ได้ V22 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0834-33434-6R-0C-V05-D26,ไม่ถูกต้อง,834,3,3,4,3,4,17,6,0,V05,V02,V code ไม่ตรง: ได้ V05 แต่ควรเป็น V02 → อาจเป็นรหัสปลอม!
TK-0001-43343-5R-0C-V28-D26,ไม่ถูกต้อง,1,4,3,3,4,3,17,5,0,V28,V89,V code ไม่ตรง: ได้ V28 แต่ควรเป็น V89 → อาจเป็นรหัสปลอม!
TK-0059-43344-5R-0C-V09-D26,ไม่ถูกต้อง,59,4,3,3,4,4,18,5,0,V09,V06,V code ไม่ตรง: ได้ V09 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
TK-0135-43444-5R-0C-V36-D26,ไม่ถูกต้อง,135,4,3,4,4,4,19,5,0,V36,V03,V code ไม่ตรง: ได้ V36 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-0181-43444-5R-0C-V45-D26,ไม่ถูกต้อง,181,4,3,4,4,4,19,5,0,V45,V04,V code ไม่ตรง: ได้ V45 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0142-43343-5R-0C-V29-D26,ไม่ถูกต้อง,142,4,3,3,4,3,17,5,0,V29,V95,V code ไม่ตรง: ได้ V29 แต่ควรเป็น V95 → อาจเป็นรหัสปลอม!
TK-0192-44444-5R-0C-V41-D26,ไม่ถูกต้อง,192,4,4,4,4,4,20,5,0,V41,V11,V code ไม่ตรง: ได้ V41 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0072-43444-5R-0C-V37-D26,ไม่ถูกต้อง,72,4,3,4,4,4,19,5,0,V37,V03,V code ไม่ตรง: ได้ V37 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-0186-34343-5R-0C-V30-D26,ไม่ถูกต้อง,186,3,4,3,4,3,17,5,0,V30,V05,V code ไม่ตรง: ได้ V30 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0454-44444-5R-0C-V12-D26,ถูกต้อง,454,4,4,4,4,4,20,5,0,V12,V12,
TK-0753-43444-5R-0C-V91-D26,ไม่ถูกต้อง,753,4,3,4,4,4,19,5,0,V91,V09,V code ไม่ตรง: ได้ V91 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-0103-44444-5R-0C-V46-D26,ไม่ถูกต้อง,103,4,4,4,4,4,20,5,0,V46,V03,V code ไม่ตรง: ได้ V46 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-0039-43444-5R-0C-V49-D26,ไม่ถูกต้อง,39,4,3,4,4,4,19,5,0,V49,V06,V code ไม่ตรง: ได้ V49 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
TK-0036-44444-5R-0C-V19-D26,ไม่ถูกต้อง,36,4,4,4,4,4,20,5,0,V19,V08,V code ไม่ตรง: ได้ V19 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0097-44444-5R-0C-V13-D26,ไม่ถูกต้อง,97,4,4,4,4,4,20,5,0,V13,V15,V code ไม่ตรง: ได้ V13 แต่ควรเป็น V15 → อาจเป็นรหัสปลอม!
TK-0056-44444-5R-0C-V19-D26,ไม่ถูกต้อง,56,4,4,4,4,4,20,5,0,V19,V10,V code ไม่ตรง: ได้ V19 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0143-44334-5R-0C-V64-D26,ไม่ถูกต้อง,143,4,4,3,3,4,18,5,0,V64,V98,V code ไม่ตรง: ได้ V64 แต่ควรเป็น V98 → อาจเป็นรหัสปลอม!
TK-2004-43434-5R-0C-V46-D26,ไม่ถูกต้อง,2004,4,3,4,3,4,18,5,0,V46,V93,V code ไม่ตรง: ได้ V46 แต่ควรเป็น V93 → อาจเป็นรหัสปลอม!
TK-0435-44444-5R-0C-V32-D26,ไม่ถูกต้อง,435,4,4,4,4,4,20,5,0,V32,V11,V code ไม่ตรง: ได้ V32 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0245-43444-5R-0C-V67-D26,ไม่ถูกต้อง,245,4,3,4,4,4,19,5,0,V67,V05,V code ไม่ตรง: ได้ V67 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0008-44444-5R-0C-V08-D26,ไม่ถูกต้อง,8,4,4,4,4,4,20,5,0,V08,V07,V code ไม่ตรง: ได้ V08 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0049-43344-5R-0C-V27-D26,ไม่ถูกต้อง,49,4,3,3,4,4,18,5,0,V27,V05,V code ไม่ตรง: ได้ V27 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0093-44444-5R-0C-V51-D26,ไม่ถูกต้อง,93,4,4,4,4,4,20,5,0,V51,V11,V code ไม่ตรง: ได้ V51 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0054-44444-5R-0C-V32-D26,ไม่ถูกต้อง,54,4,4,4,4,4,20,5,0,V32,V08,V code ไม่ตรง: ได้ V32 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0827-43433-5R-0C-V76-D26,ไม่ถูกต้อง,827,4,3,4,3,3,17,5,0,V76,V00,V code ไม่ตรง: ได้ V76 แต่ควรเป็น V00 → อาจเป็นรหัสปลอม!
TK-0142-43443-5R-0C-V21-D26,ไม่ถูกต้อง,142,4,3,4,4,3,18,5,0,V21,V97,V code ไม่ตรง: ได้ V21 แต่ควรเป็น V97 → อาจเป็นรหัสปลอม!
TK-0609-44344-5R-0C-V36-D26,ไม่ถูกต้อง,609,4,4,3,4,4,19,5,0,V36,V12,V code ไม่ตรง: ได้ V36 แต่ควรเป็น V12 → อาจเป็นรหัสปลอม!
TK-2025-33343-5R-0C-V03-D26,ไม่ถูกต้อง,2025,3,3,3,4,3,16,5,0,V03,V94,V code ไม่ตรง: ได้ V03 แต่ควรเป็น V94 → อาจเป็นรหัสปลอม!
TK-0082-44444- 5R-OC-V56-D26,ไม่ถูกต้อง,,0,0,0,0,0,0,0,0,,,รูปแบบรหัสไม่ถูกต้อง (ต้องเป็น TK-XXXX-XXXXX-XR-XC-VXX-D26)
TK-0098-44444-5R-0C-V19-D26,ไม่ถูกต้อง,98,4,4,4,4,4,20,5,0,V19,V16,V code ไม่ตรง: ได้ V19 แต่ควรเป็น V16 → อาจเป็นรหัสปลอม!
TK-0551-43444-5R-0C-V49-D26,ไม่ถูกต้อง,551,4,3,4,4,4,19,5,0,V49,V05,V code ไม่ตรง: ได้ V49 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0576-44444-5R-0C-V29-D26,ไม่ถูกต้อง,576,4,4,4,4,4,20,5,0,V29,V17,V code ไม่ตรง: ได้ V29 แต่ควรเป็น V17 → อาจเป็นรหัสปลอม!
TK-0451-44444-5R-0C-V53-D26,ไม่ถูกต้อง,451,4,4,4,4,4,20,5,0,V53,V09,V code ไม่ตรง: ได้ V53 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-0078-44444-5R-0C-V27-D26,ไม่ถูกต้อง,78,4,4,4,4,4,20,5,0,V27,V14,V code ไม่ตรง: ได้ V27 แต่ควรเป็น V14 → อาจเป็นรหัสปลอม!
TK-0171-43434-5R-0C-V03-D26,ไม่ถูกต้อง,171,4,3,4,3,4,18,5,0,V03,V96,V code ไม่ตรง: ได้ V03 แต่ควรเป็น V96 → อาจเป็นรหัสปลอม!
TK-0002-44444-5R-0C-V06-D26,ไม่ถูกต้อง,2,4,4,4,4,4,20,5,0,V06,V01,V code ไม่ตรง: ได้ V06 แต่ควรเป็น V01 → อาจเป็นรหัสปลอม!
TK-0155-43444-5R-0C-V74-D26,ไม่ถูกต้อง,155,4,3,4,4,4,19,5,0,V74,V05,V code ไม่ตรง: ได้ V74 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-2253-43444-5R-0C-V36-D26,ไม่ถูกต้อง,2253,4,3,4,4,4,19,5,0,V36,V06,V code ไม่ตรง: ได้ V36 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
TK-0259-44444-5R-0C-V95-D26,ไม่ถูกต้อง,259,4,4,4,4,4,20,5,0,V95,V15,V code ไม่ตรง: ได้ V95 แต่ควรเป็น V15 → อาจเป็นรหัสปลอม!
TK-0379-44444-5R-0C-V48-D26,ไม่ถูกต้อง,379,4,4,4,4,4,20,5,0,V48,V18,V code ไม่ตรง: ได้ V48 แต่ควรเป็น V18 → อาจเป็นรหัสปลอม!
TK-0355-33343-5R-0C-V73-D26,ไม่ถูกต้อง,355,3,3,3,4,3,16,5,0,V73,V98,V code ไม่ตรง: ได้ V73 แต่ควรเป็น V98 → อาจเป็นรหัสปลอม!
TK-0132-43444-5R-0C-V44-D26,ไม่ถูกต้อง,132,4,3,4,4,4,19,5,0,V44,V00,V code ไม่ตรง: ได้ V44 แต่ควรเป็น V00 → อาจเป็นรหัสปลอม!
TK-0136-33343-5R-0C-V68-D26,ไม่ถูกต้อง,136,3,3,3,4,3,16,5,0,V68,V95,V code ไม่ตรง: ได้ V68 แต่ควรเป็น V95 → อาจเป็นรหัสปลอม!
TK-0295-44444-5R-0C-V90-D26,ไม่ถูกต้อง,295,4,4,4,4,4,20,5,0,V90,V15,V code ไม่ตรง: ได้ V90 แต่ควรเป็น V15 → อาจเป็นรหัสปลอม!
TK-0367-44344-5R-0C-V51-D26,ไม่ถูกต้อง,367,4,4,3,4,4,19,5,0,V51,V13,V code ไม่ตรง: ได้ V51 แต่ควรเป็น V13 → อาจเป็นรหัสปลอม!
TK-0030-44344-5R-0C-V23-D26,ไม่ถูกต้อง,30,4,4,3,4,4,19,5,0,V23,V00,V code ไม่ตรง: ได้ V23 แต่ควรเป็น V00 → อาจเป็นรหัสปลอม!
TK-0231-44444-5R-0C-V19-D26,ไม่ถูกต้อง,231,4,4,4,4,4,20,5,0,V19,V05,V code ไม่ตรง: ได้ V19 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-2039-43344-5R-0C-V47-D26,ไม่ถูกต้อง,2039,4,3,3,4,4,18,5,0,V47,V06,V code ไม่ตรง: ได้ V47 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
TK-0540-43444-5R-0C-V03-D26,ถูกต้อง,540,4,3,4,4,4,19,5,0,V03,V03,
TK-0098-44444-5R-0C-V39-D26,ไม่ถูกต้อง,98,4,4,4,4,4,20,5,0,V39,V16,V code ไม่ตรง: ได้ V39 แต่ควรเป็น V16 → อาจเป็นรหัสปลอม!
TK-0014-43344-5R-0C-V74-D26,ไม่ถูกต้อง,14,4,3,3,4,4,18,5,0,V74,V97,V code ไม่ตรง: ได้ V74 แต่ควรเป็น V97 → อาจเป็นรหัสปลอม!
TK-0083-43444-5R-0C-V19-D26,ไม่ถูกต้อง,83,4,3,4,4,4,19,5,0,V19,V05,V code ไม่ตรง: ได้ V19 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0017-43344-5R-0C-V13-D26,ไม่ถูกต้อง,17,4,3,3,4,4,18,5,0,V13,V00,V code ไม่ตรง: ได้ V13 แต่ควรเป็น V00 → อาจเป็นรหัสปลอม!
TK-0155-44444-5R-0C-V42-D26,ไม่ถูกต้อง,155,4,4,4,4,4,20,5,0,V42,V10,V code ไม่ตรง: ได้ V42 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0536-44444-5R-0C-V00-D26,ไม่ถูกต้อง,536,4,4,4,4,4,20,5,0,V00,V13,V code ไม่ตรง: ได้ V00 แต่ควรเป็น V13 → อาจเป็นรหัสปลอม!
TK-0185-44444-5R-0C-V35-D26,ไม่ถูกต้อง,185,4,4,4,4,4,20,5,0,V35,V13,V code ไม่ตรง: ได้ V35 แต่ควรเป็น V13 → อาจเป็นรหัสปลอม!
TK-0605-44444-5R-0C-V28-D26,ไม่ถูกต้อง,605,4,4,4,4,4,20,5,0,V28,V10,V code ไม่ตรง: ได้ V28 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0175-44444-6R-0C-V44-D26,ไม่ถูกต้อง,175,4,4,4,4,4,20,6,0,V44,V15,V code ไม่ตรง: ได้ V44 แต่ควรเป็น V15 → อาจเป็นรหัสปลอม!
TK-0167-44444-5R-0C-V00-D26,ไม่ถูกต้อง,167,4,4,4,4,4,20,5,0,V00,V13,V code ไม่ตรง: ได้ V00 แต่ควรเป็น V13 → อาจเป็นรหัสปลอม!
TK-1008-44444-6R-0C-V03-D26,ไม่ถูกต้อง,1008,4,4,4,4,4,20,6,0,V03,V11,V code ไม่ตรง: ได้ V03 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0212-44444-5R-0C-V11-D26,ไม่ถูกต้อง,212,4,4,4,4,4,20,5,0,V11,V04,V code ไม่ตรง: ได้ V11 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0592-44444-5R-0C-V31-D26,ไม่ถูกต้อง,592,4,4,4,4,4,20,5,0,V31,V15,V code ไม่ตรง: ได้ V31 แต่ควรเป็น V15 → อาจเป็นรหัสปลอม!
TK-0170-43444-5R-0C-V37-D26,ไม่ถูกต้อง,170,4,3,4,4,4,19,5,0,V37,V02,V code ไม่ตรง: ได้ V37 แต่ควรเป็น V02 → อาจเป็นรหัสปลอม!
TK-0059-43343-5R-0C-V83-D26,ไม่ถูกต้อง,59,4,3,3,4,3,17,5,0,V83,V02,V code ไม่ตรง: ได้ V83 แต่ควรเป็น V02 → อาจเป็นรหัสปลอม!
TK-0064-33343-5R-0C-V46-D26,ไม่ถูกต้อง,64,3,3,3,4,3,16,5,0,V46,V95,V code ไม่ตรง: ได้ V46 แต่ควรเป็น V95 → อาจเป็นรหัสปลอม!
TK-0588-44433-5R-0C-V38-D26,ไม่ถูกต้อง,588,4,4,4,3,3,18,5,0,V38,V09,V code ไม่ตรง: ได้ V38 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-2233-43434-5R-0C-V08-D26,ไม่ถูกต้อง,2233,4,3,4,3,4,18,5,0,V08,V97,V code ไม่ตรง: ได้ V08 แต่ควรเป็น V97 → อาจเป็นรหัสปลอม!
TK-0470-33334-5R-0C-V13-D26,ไม่ถูกต้อง,470,3,3,3,3,4,16,5,0,V13,V93,V code ไม่ตรง: ได้ V13 แต่ควรเป็น V93 → อาจเป็นรหัสปลอม!
TK-0223-44444-5R-0C-V93-D26,ไม่ถูกต้อง,223,4,4,4,4,4,20,5,0,V93,V06,V code ไม่ตรง: ได้ V93 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
TK-0056-44344-5R-0C-V49-D26,ไม่ถูกต้อง,56,4,4,3,4,4,19,5,0,V49,V08,V code ไม่ตรง: ได้ V49 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-xxxx-44443-5R-0C-V37-D26,ไม่ถูกต้อง,,0,0,0,0,0,0,0,0,,,รูปแบบรหัสไม่ถูกต้อง (ต้องเป็น TK-XXXX-XXXXX-XR-XC-VXX-D26)
TK-0007-44444-5R-0C-V19-D26,ไม่ถูกต้อง,7,4,4,4,4,4,20,5,0,V19,V06,V code ไม่ตรง: ได้ V19 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
TK-2184-33344-5R-0C-V25-D26,ไม่ถูกต้อง,2184,3,3,3,4,4,17,5,0,V25,V04,V code ไม่ตรง: ได้ V25 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0109-33343-5R-0C-V38-D26,ไม่ถูกต้อง,109,3,3,3,4,3,16,5,0,V38,V95,V code ไม่ตรง: ได้ V38 แต่ควรเป็น V95 → อาจเป็นรหัสปลอม!
TK-0229-43344-5R-0C-V54-D26,ไม่ถูกต้อง,229,4,3,3,4,4,18,5,0,V54,V05,V code ไม่ตรง: ได้ V54 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0324-43444-5R-0C-V11-D26,ไม่ถูกต้อง,324,4,3,4,4,4,19,5,0,V11,V03,V code ไม่ตรง: ได้ V11 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-0606-44444-5R-0C-V47-D26,ไม่ถูกต้อง,606,4,4,4,4,4,20,5,0,V47,V11,V code ไม่ตรง: ได้ V47 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0089-44444-5R-0C-V43-D26,ไม่ถูกต้อง,89,4,4,4,4,4,20,5,0,V43,V16,V code ไม่ตรง: ได้ V43 แต่ควรเป็น V16 → อาจเป็นรหัสปลอม!
TK-0483-44444-5R-0C-V41-D26,ไม่ถูกต้อง,483,4,4,4,4,4,20,5,0,V41,V14,V code ไม่ตรง: ได้ V41 แต่ควรเป็น V14 → อาจเป็นรหัสปลอม!
TK-0174-43344-5R-0C-V22-D26,ไม่ถูกต้อง,174,4,3,3,4,4,18,5,0,V22,V04,V code ไม่ตรง: ได้ V22 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0013-43444-5R-0C-V66-D26,ไม่ถูกต้อง,13,4,3,4,4,4,19,5,0,V66,V98,V code ไม่ตรง: ได้ V66 แต่ควรเป็น V98 → อาจเป็นรหัสปลอม!
TK-0092-44444-5R-0C-V37-D26,ไม่ถูกต้อง,92,4,4,4,4,4,20,5,0,V37,V10,V code ไม่ตรง: ได้ V37 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-2190-44444-5R-0C-V46-D26,ไม่ถูกต้อง,2190,4,4,4,4,4,20,5,0,V46,V11,V code ไม่ตรง: ได้ V46 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-2033-44444-5R-0C-V16-D26,ไม่ถูกต้อง,2033,4,4,4,4,4,20,5,0,V16,V07,V code ไม่ตรง: ได้ V16 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0145-44444-5R-0C-V33-D26,ไม่ถูกต้อง,145,4,4,4,4,4,20,5,0,V33,V09,V code ไม่ตรง: ได้ V33 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-0369-43444-5R-0C-V03-D26,ไม่ถูกต้อง,369,4,3,4,4,4,19,5,0,V03,V12,V code ไม่ตรง: ได้ V03 แต่ควรเป็น V12 → อาจเป็นรหัสปลอม!
TK-0009-34333-6R-0C-V21-D26,ไม่ถูกต้อง,9,3,4,3,3,3,16,6,0,V21,V95,V code ไม่ตรง: ได้ V21 แต่ควรเป็น V95 → อาจเป็นรหัสปลอม!
TK-0288-44444-6R-0C-V31-D26,ไม่ถูกต้อง,288,4,4,4,4,4,20,6,0,V31,V20,V code ไม่ตรง: ได้ V31 แต่ควรเป็น V20 → อาจเป็นรหัสปลอม!
TK-0007-43444-5R-0C-V11-D26,ไม่ถูกต้อง,7,4,3,4,4,4,19,5,0,V11,V01,V code ไม่ตรง: ได้ V11 แต่ควรเป็น V01 → อาจเป็นรหัสปลอม!
TK-0103-43444-5R-0C-V28-D26,ไม่ถูกต้อง,103,4,3,4,4,4,19,5,0,V28,V98,V code ไม่ตรง: ได้ V28 แต่ควรเป็น V98 → อาจเป็นรหัสปลอม!
